                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76101,                0.44293,                  0.878,                0.86452,                0.75924,                0.86159,                0.70616,                 0.6752,                0.49312,                0.86635,              0.0010894,              0.0010894,              0.0010894
                     37,                0.74318,                0.42696,                 0.8651,                0.85679,                0.70894,                0.82322,                0.64794,                0.78972,                0.68222,                0.90525,              0.0010729,              0.0010729,              0.0010729
                     38,                0.73111,                0.43631,                0.86933,                0.79134,                0.75612,                 0.8309,                0.64706,                0.85559,                0.63948,                0.91884,              0.0010564,              0.0010564,              0.0010564
                     39,                0.72732,                0.42757,                0.87061,                0.89595,                0.77858,                0.84875,                0.66711,                0.77036,                0.64095,                0.89538,              0.0010399,              0.0010399,              0.0010399
                     40,                0.72664,                0.42358,                 0.8697,                0.76965,                0.78671,                0.81866,                0.61408,                0.78539,                0.72984,                0.91536,              0.0010234,              0.0010234,              0.0010234
                     41,                0.72001,                0.42858,                0.86975,                0.86029,                0.76556,                0.83584,                0.63863,                0.74891,                0.55617,                0.89889,              0.0010069,              0.0010069,              0.0010069
                     42,                0.72566,                0.43118,                 0.8672,                0.77425,                0.69959,                 0.7606,                0.58385,                 0.8465,                0.75865,                 0.9257,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.7183,                0.42027,                0.86511,                0.85956,                0.75888,                0.83342,                0.64828,                0.80265,                0.58611,                0.90302,             0.00097386,             0.00097386,             0.00097386
                     44,                0.72446,                0.42243,                0.86494,                0.75472,                0.82469,                0.80778,                 0.6323,                0.79463,                0.59094,                0.89996,             0.00095736,             0.00095736,             0.00095736
                     45,                0.70031,                0.41183,                0.86484,                0.89623,                0.77187,                0.83254,                  0.659,                 0.7973,                0.55179,                 0.9081,             0.00094085,             0.00094085,             0.00094085
                     46,                0.70337,                0.40979,                0.86463,                0.75524,                0.76407,                0.78889,                0.61364,                0.82166,                0.64599,                0.91085,             0.00092435,             0.00092435,             0.00092435
                     47,                0.68067,                0.39903,                0.86004,                 0.7894,                0.75576,                0.82717,                0.64244,                0.84016,                0.57565,                0.90484,             0.00090785,             0.00090785,             0.00090785
                     48,                0.68167,                0.40146,                0.86009,                0.83397,                0.82737,                0.85065,                0.67449,                0.78113,                0.56135,                0.90093,             0.00089134,             0.00089134,             0.00089134
                     49,                0.69593,                0.40099,                0.86031,                0.78329,                 0.7777,                0.79549,                0.62565,                0.78067,                0.64462,                0.90837,             0.00087484,             0.00087484,             0.00087484
                     50,                0.68432,                0.39655,                0.85829,                0.81283,                0.79746,                0.82046,                0.66056,                0.76953,                0.55246,                0.88778,             0.00085834,             0.00085834,             0.00085834
                     51,                0.66773,                0.38788,                0.85451,                0.82172,                0.76922,                0.80893,                 0.6391,                0.85222,                0.61736,                0.92287,             0.00084184,             0.00084184,             0.00084184
                     52,                0.66629,                0.39209,                0.85449,                0.78264,                0.83335,                0.82584,                0.67151,                0.76894,                0.55849,                0.90189,             0.00082533,             0.00082533,             0.00082533
                     53,                0.68341,                0.39645,                0.85756,                0.76215,                0.80577,                0.83518,                0.69387,                0.71364,                0.52887,                0.87073,             0.00080883,             0.00080883,             0.00080883
                     54,                0.67012,                0.38531,                  0.852,                0.87198,                0.82978,                0.87889,                0.72832,                0.71736,                0.47663,                 0.8766,             0.00079233,             0.00079233,             0.00079233
                     55,                0.64903,                0.38001,                0.85179,                0.86492,                0.75566,                0.87422,                0.71678,                0.68997,                0.50016,                0.87092,             0.00077582,             0.00077582,             0.00077582
                     56,                0.65595,                0.38181,                0.85096,                0.88345,                0.76641,                0.84007,                0.63242,                0.91993,                0.59822,                0.94761,             0.00075932,             0.00075932,             0.00075932
                     57,                0.66443,                0.38376,                0.85185,                0.83167,                0.80504,                0.86297,                 0.6705,                0.89735,                 0.5513,                0.92003,             0.00074282,             0.00074282,             0.00074282
                     58,                0.64317,                0.37836,                0.84597,                0.88315,                0.78386,                0.86078,                0.68065,                0.78587,                0.53362,                0.89556,             0.00072631,             0.00072631,             0.00072631
                     59,                0.65487,                0.37903,                0.85095,                0.86641,                0.80528,                0.85662,                0.64674,                0.85218,                 0.5327,                0.92683,             0.00070981,             0.00070981,             0.00070981
                     60,                0.66154,                0.37462,                0.84967,                0.89508,                0.77679,                0.85732,                0.65956,                0.86809,                 0.5367,                0.91806,             0.00069331,             0.00069331,             0.00069331
                     61,                0.64859,                0.36675,                0.85109,                0.83528,                0.78213,                0.80959,                0.62749,                0.81434,                0.61593,                0.90952,              0.0006768,              0.0006768,              0.0006768
                     62,                0.62609,                0.36634,                0.84884,                 0.8175,                0.78833,                0.84588,                0.63827,                0.91379,                0.59672,                0.94909,              0.0006603,              0.0006603,              0.0006603
                     63,                0.64791,                0.37358,                0.84638,                0.85346,                0.80008,                0.84192,                0.67586,                0.75219,                0.59044,                0.89572,              0.0006438,              0.0006438,              0.0006438
                     64,                0.63915,                0.36546,                0.84764,                0.82366,                0.80813,                0.81211,                0.65124,                0.72515,                0.54713,                 0.8865,             0.00062729,             0.00062729,             0.00062729
                     65,                0.63326,                0.36406,                0.84707,                0.81179,                0.78577,                0.82898,                0.64347,                0.84286,                0.58966,                0.91015,             0.00061079,             0.00061079,             0.00061079
                     66,                0.62844,                0.36081,                0.85086,                0.87752,                0.79196,                 0.8325,                0.65115,                0.77862,                0.54863,                0.90715,             0.00059429,             0.00059429,             0.00059429
                     67,                0.62851,                0.36406,                0.84697,                 0.8499,                0.80078,                0.83207,                0.66697,                0.77383,                0.52984,                   0.89,             0.00057778,             0.00057778,             0.00057778
                     68,                0.60769,                0.34965,                0.84531,                0.82683,                0.83099,                0.84518,                0.67926,                0.76796,                0.56688,                 0.8966,             0.00056128,             0.00056128,             0.00056128
                     69,                0.62603,                 0.3651,                0.84722,                0.82322,                0.78759,                0.81458,                 0.6612,                0.75036,                0.54582,                0.88446,             0.00054478,             0.00054478,             0.00054478
                     70,                0.60374,                0.34335,                0.83844,                0.83131,                0.77966,                0.82197,                0.64155,                0.80193,                0.59579,                0.90406,             0.00052827,             0.00052827,             0.00052827
                     71,                0.60688,                0.34566,                 0.8463,                0.84395,                 0.8086,                0.84057,                0.66393,                0.76908,                0.53592,                 0.8933,             0.00051177,             0.00051177,             0.00051177
                     72,                0.61252,                0.35226,                0.84292,                0.77055,                0.83162,                0.84625,                0.68532,                0.75725,                0.52192,                 0.8827,             0.00049527,             0.00049527,             0.00049527
                     73,                0.59101,                0.34373,                0.84248,                0.80591,                0.75062,                0.82323,                0.66296,                0.75274,                0.52348,                0.88404,             0.00047876,             0.00047876,             0.00047876
                     74,                0.59946,                 0.3451,                0.83811,                 0.7911,                0.82835,                0.84723,                0.68926,                0.70674,                0.52709,                0.87732,             0.00046226,             0.00046226,             0.00046226
                     75,                0.60358,                0.34563,                0.84113,                 0.8089,                0.83048,                0.83874,                0.66198,                0.75632,                0.52694,                0.89644,             0.00044576,             0.00044576,             0.00044576
