                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1619,                 1.4408,                0.99859,                0.38175,                 0.2809,                0.20047,                0.12079,                 1.6435,                 3.2502,                 1.2905,             0.00054845,             0.00054845,             0.00054845
                      2,                  1.147,                0.75812,                 1.0103,                 0.4403,                0.38431,                0.29281,                0.14359,                 1.7705,                 2.0756,                 1.3993,              0.0010823,              0.0010823,              0.0010823
                      3,                  1.208,                0.77282,                 1.0289,                0.13863,                 0.1991,                0.06358,                0.03784,                 1.9194,                    inf,                 1.5686,              0.0015941,              0.0015941,              0.0015941
                      4,                 1.1793,                0.72889,                 1.0198,                0.50906,                0.44946,                0.43989,                0.26058,                 1.4849,                 1.9323,                  1.222,               0.001568,               0.001568,               0.001568
                      5,                 1.1127,                0.66844,                0.99583,                0.82001,                0.58921,                 0.5937,                0.34948,                 1.3161,                 1.0403,                 1.1468,               0.001535,               0.001535,               0.001535
                      6,                 1.0682,                0.62419,                0.97737,                0.68322,                0.63571,                0.60865,                0.37094,                 1.2915,                0.79224,                 1.0971,               0.001502,               0.001502,               0.001502
                      7,                 1.0408,                0.60738,                0.96721,                0.71663,                0.63952,                0.63879,                0.35957,                 1.3311,                0.81936,                 1.0837,               0.001469,               0.001469,               0.001469
                      8,                 1.0097,                0.58458,                0.96485,                0.80288,                0.62061,                0.60331,                0.35013,                 1.3309,                0.88337,                 1.0941,               0.001436,               0.001436,               0.001436
                      9,                0.98874,                0.57057,                0.94909,                0.63236,                0.55083,                0.49362,                0.30477,                 1.2608,                 1.1511,                  1.086,              0.0014029,              0.0014029,              0.0014029
                     10,                0.95211,                0.54547,                0.93735,                0.83388,                0.62624,                0.58002,                0.35558,                 1.2433,                0.83699,                  1.077,              0.0013699,              0.0013699,              0.0013699
                     11,                0.93414,                0.53014,                0.93107,                0.73918,                0.65533,                0.61975,                0.36551,                 1.2753,                0.81631,                 1.0943,              0.0013369,              0.0013369,              0.0013369
                     12,                0.92731,                0.52314,                0.93379,                0.85593,                0.62047,                0.59869,                 0.3606,                 1.2402,                0.87823,                  1.059,              0.0013039,              0.0013039,              0.0013039
                     13,                 0.9023,                 0.5212,                0.92255,                0.84153,                0.61368,                0.63059,                0.39309,                  1.196,                0.82502,                 1.0384,              0.0012709,              0.0012709,              0.0012709
                     14,                0.89406,                0.50091,                0.92299,                0.82065,                0.63276,                0.61587,                0.34561,                 1.3098,                 0.8298,                  1.104,              0.0012379,              0.0012379,              0.0012379
                     15,                0.88241,                 0.4957,                0.91797,                0.78617,                  0.683,                0.69005,                 0.4204,                 1.1733,                0.69655,                 1.0077,              0.0012049,              0.0012049,              0.0012049
                     16,                0.86988,                0.48498,                0.91057,                0.76721,                0.65074,                  0.655,                0.39368,                 1.2302,                0.78737,                 1.0402,              0.0011719,              0.0011719,              0.0011719
                     17,                0.84833,                0.47486,                 0.9047,                 0.7839,                0.65472,                0.64876,                0.38005,                 1.1955,                0.75121,                 1.0467,              0.0011389,              0.0011389,              0.0011389
                     18,                0.84415,                0.46523,                0.90307,                0.82713,                0.64735,                0.65122,                0.38908,                 1.2146,                0.74572,                 1.0592,              0.0011059,              0.0011059,              0.0011059
                     19,                0.83149,                0.45996,                0.89841,                0.84839,                0.62174,                0.62495,                0.39701,                 1.1629,                0.76938,                 1.0356,              0.0010729,              0.0010729,              0.0010729
                     20,                0.82067,                0.44988,                0.89759,                0.77979,                0.65732,                0.66075,                0.40594,                 1.1338,                 0.7093,                 1.0196,              0.0010399,              0.0010399,              0.0010399
                     21,                0.81493,                0.44784,                 0.8971,                0.83173,                0.64267,                0.61972,                0.38275,                  1.181,                0.76693,                 1.0303,              0.0010069,              0.0010069,              0.0010069
                     22,                0.79686,                0.43428,                0.89113,                0.80722,                0.65074,                0.66108,                0.41217,                 1.1614,                0.72852,                 1.0343,             0.00097386,             0.00097386,             0.00097386
                     23,                0.80585,                0.44454,                0.89129,                0.84896,                0.64847,                0.67201,                0.39443,                 1.1699,                0.73665,                 1.0221,             0.00094085,             0.00094085,             0.00094085
                     24,                0.79305,                0.43352,                0.88844,                0.82372,                0.65072,                0.66326,                0.41521,                 1.1241,                0.71006,                  1.006,             0.00090785,             0.00090785,             0.00090785
                     25,                0.77838,                0.42543,                0.88497,                0.78676,                0.64068,                0.64271,                0.40244,                 1.1689,                0.77158,                 1.0305,             0.00087484,             0.00087484,             0.00087484
                     26,                0.76715,                0.41437,                  0.886,                0.83266,                0.65287,                0.65354,                0.41731,                 1.1366,                0.71078,                 1.0312,             0.00084184,             0.00084184,             0.00084184
                     27,                 0.7513,                0.41073,                0.87805,                0.83736,                0.64309,                0.64913,                0.41173,                 1.1088,                0.68834,                  1.007,             0.00080883,             0.00080883,             0.00080883
                     28,                0.75572,                0.40874,                0.87646,                0.85482,                0.64455,                0.63344,                 0.3998,                 1.1259,                0.71649,                 1.0117,             0.00077582,             0.00077582,             0.00077582
                     29,                0.74178,                0.40325,                0.88013,                 0.8456,                0.65073,                0.66597,                0.41958,                 1.1443,                0.72758,                  1.026,             0.00074282,             0.00074282,             0.00074282
                     30,                0.73498,                0.39031,                0.87386,                0.82583,                0.65081,                0.65255,                   0.41,                 1.1298,                 0.7096,                 1.0084,             0.00070981,             0.00070981,             0.00070981
                     31,                0.72235,                0.38717,                0.87231,                0.82396,                0.65698,                0.67279,                0.43192,                 1.1425,                0.70078,                 1.0214,              0.0006768,              0.0006768,              0.0006768
                     32,                0.71713,                 0.3841,                0.87057,                0.84914,                0.64125,                0.65043,                0.41728,                 1.1336,                0.73324,                 1.0132,              0.0006438,              0.0006438,              0.0006438
                     33,                0.71676,                0.38207,                0.86957,                0.85509,                0.63815,                0.65944,                0.41983,                 1.1256,                0.71725,                 1.0161,             0.00061079,             0.00061079,             0.00061079
                     34,                0.70378,                0.37367,                 0.8682,                 0.8218,                0.67076,                0.66725,                0.41743,                 1.1243,                0.69845,                 1.0011,             0.00057778,             0.00057778,             0.00057778
                     35,                0.69968,                 0.3744,                0.86436,                0.82551,                0.64453,                0.66937,                0.41664,                  1.132,                0.71093,                 1.0286,             0.00054478,             0.00054478,             0.00054478
                     36,                0.69034,                0.36904,                0.86287,                0.83058,                0.66597,                0.68312,                0.43605,                 1.1172,                0.67027,                 1.0164,             0.00051177,             0.00051177,             0.00051177
                     37,                0.68225,                0.36273,                0.86039,                 0.8545,                0.66267,                0.66813,                 0.4193,                  1.121,                0.66503,                 1.0158,             0.00047876,             0.00047876,             0.00047876
                     38,                0.66975,                0.35503,                0.85877,                0.86784,                0.64292,                0.65171,                0.39866,                 1.1569,                0.72019,                 1.0305,             0.00044576,             0.00044576,             0.00044576
