                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94946,                0.57315,                0.86953,                0.74234,                0.66254,                0.69426,                0.37474,                  1.528,                0.97602,                 1.0437,              0.0011059,              0.0011059,              0.0011059
                     36,                0.92688,                0.54938,                0.86065,                0.72249,                0.67915,                0.69096,                0.38652,                 1.4491,                 0.9076,                 1.0068,              0.0010894,              0.0010894,              0.0010894
                     37,                0.92551,                0.56153,                0.86384,                 0.7009,                 0.5371,                0.62784,                0.34648,                 1.5199,                 1.3337,                 1.0227,              0.0010729,              0.0010729,              0.0010729
                     38,                0.92354,                 0.5473,                0.86409,                0.72957,                0.66307,                0.67503,                0.38404,                 1.4131,                0.90804,                 1.0066,              0.0010564,              0.0010564,              0.0010564
                     39,                0.92623,                0.54304,                0.87031,                0.75472,                0.65509,                0.68956,                0.37564,                 1.4596,                 1.0291,                0.99469,              0.0010399,              0.0010399,              0.0010399
                     40,                0.92632,                0.54511,                0.86789,                0.74877,                0.58409,                0.66117,                0.37097,                 1.4684,                0.98827,                0.99615,              0.0010234,              0.0010234,              0.0010234
                     41,                0.91676,                0.54252,                 0.8607,                0.74668,                0.66704,                0.67831,                0.37688,                  1.458,                0.98316,                 1.0078,              0.0010069,              0.0010069,              0.0010069
                     42,                0.91444,                0.53153,                0.85988,                0.73057,                0.62183,                 0.6839,                0.40154,                 1.3864,                 0.9897,                 1.0001,             0.00099036,             0.00099036,             0.00099036
                     43,                0.89859,                0.52868,                0.85823,                0.73889,                0.62699,                0.68591,                0.39305,                 1.4392,                0.96883,                0.99363,             0.00097386,             0.00097386,             0.00097386
                     44,                0.90181,                0.53126,                0.86135,                0.72172,                0.66578,                0.69202,                0.40263,                 1.3951,                0.94692,                0.98493,             0.00095736,             0.00095736,             0.00095736
                     45,                0.89466,                0.52016,                0.86034,                0.69949,                0.65885,                0.69628,                 0.3969,                 1.4352,                 0.9243,                0.99137,             0.00094085,             0.00094085,             0.00094085
                     46,                0.89546,                  0.521,                0.85694,                0.63004,                0.63402,                0.66467,                0.37409,                 1.4601,                 1.1106,                 1.0029,             0.00092435,             0.00092435,             0.00092435
                     47,                0.89608,                 0.5142,                0.86253,                0.73032,                0.65967,                0.68889,                0.38151,                  1.483,                0.99361,                 1.0036,             0.00090785,             0.00090785,             0.00090785
                     48,                0.88429,                0.52772,                0.85669,                0.75705,                 0.6176,                0.69308,                0.39107,                  1.464,                 1.0047,                0.99926,             0.00089134,             0.00089134,             0.00089134
                     49,                0.89187,                 0.5149,                0.85954,                0.74443,                0.59347,                0.66638,                0.38284,                  1.467,                  1.045,                 1.0085,             0.00087484,             0.00087484,             0.00087484
                     50,                0.87313,                0.51429,                0.85787,                0.69652,                0.62343,                0.67226,                0.38396,                 1.4567,                 1.0814,                 1.0121,             0.00085834,             0.00085834,             0.00085834
                     51,                0.87839,                0.51094,                0.85536,                0.72579,                0.64917,                0.69058,                0.38319,                 1.4689,                 1.0092,                 1.0051,             0.00084184,             0.00084184,             0.00084184
