                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5637,                 2.4681,                 1.0422,                0.00554,                0.85671,                0.55242,                0.29308,                 1.5574,                 3.3082,                0.98232,             0.00054773,             0.00054773,             0.00054773
                      2,                 1.3514,                 1.2713,                0.95691,                0.83038,                0.64357,                0.75579,                0.38835,                 1.5222,                 1.6502,                0.99929,              0.0010815,              0.0010815,              0.0010815
                      3,                 1.3509,                 1.0159,                0.96306,                0.76832,                 0.6511,                0.72819,                0.37026,                 1.4945,                 1.2757,                 1.0023,              0.0015934,              0.0015934,              0.0015934
                      4,                 1.3087,                0.88343,                0.95051,                0.85055,                0.74172,                0.81748,                0.44668,                   1.48,                0.91652,                0.99242,               0.001568,               0.001568,               0.001568
                      5,                 1.2641,                0.80218,                0.94048,                0.84931,                0.78116,                0.84006,                 0.4934,                 1.2798,                0.83689,                0.93439,               0.001535,               0.001535,               0.001535
                      6,                  1.261,                0.77677,                0.93906,                0.70499,                0.71905,                0.74303,                0.40159,                  1.424,                 1.2642,                0.97302,               0.001502,               0.001502,               0.001502
                      7,                 1.2094,                0.73736,                0.92719,                0.87874,                0.82797,                0.87557,                0.49654,                 1.3574,                0.75896,                 0.9547,               0.001469,               0.001469,               0.001469
                      8,                 1.1843,                 0.7179,                0.91683,                0.91028,                0.84165,                0.91309,                0.55921,                 1.2304,                0.73345,                0.92379,               0.001436,               0.001436,               0.001436
                      9,                 1.1656,                0.70544,                0.91295,                0.91791,                0.77483,                0.88352,                 0.5184,                 1.3196,                0.80912,                0.93982,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1569,                0.69633,                0.91147,                0.85693,                0.79118,                0.88321,                0.51395,                 1.3256,                0.83541,                0.93519,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.144,                0.68296,                0.90543,                 0.9058,                0.82932,                0.90068,                0.55761,                 1.2208,                0.79393,                0.92248,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1172,                0.65737,                0.90142,                0.91104,                0.88352,                0.92316,                0.58704,                 1.1824,                0.65989,                0.91156,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1135,                0.65609,                0.89747,                0.92774,                0.74961,                0.87549,                0.55732,                 1.2089,                0.78912,                0.92029,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0984,                0.63964,                0.89611,                 0.9019,                0.87842,                0.91179,                  0.568,                 1.1622,                0.71062,                 0.9051,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0786,                0.62982,                0.89177,                0.95346,                 0.7864,                0.90578,                0.56178,                 1.2281,                0.81579,                0.91387,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0632,                0.61352,                0.88782,                0.94323,                0.84474,                0.91715,                0.55582,                 1.2711,                0.69554,                0.92775,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0692,                0.61753,                0.88927,                0.70656,                0.88044,                0.87522,                0.55397,                   1.23,                0.85037,                0.91737,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.0524,                0.60929,                0.88617,                0.92584,                0.82121,                 0.9013,                0.56805,                  1.177,                0.75499,                 0.9131,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0453,                0.60112,                 0.8858,                0.90858,                0.87471,                0.93552,                0.59474,                  1.132,                 0.6265,                0.89605,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0382,                0.58942,                0.88456,                0.96831,                0.78274,                0.89737,                0.57247,                 1.1836,                 0.8077,                0.91361,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.0265,                0.59033,                 0.8805,                0.91594,                 0.8681,                0.91883,                0.60099,                 1.1577,                0.63605,                0.90886,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.0135,                0.58108,                0.87718,                0.94714,                0.84133,                0.93371,                0.58762,                 1.1924,                0.73468,                0.91829,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.0045,                0.56866,                0.87572,                0.94612,                0.82986,                0.92173,                0.58718,                 1.1907,                0.76639,                0.90193,             0.00094085,             0.00094085,             0.00094085
