                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4609,                 2.3235,                 1.0519,                0.90367,                0.43336,                0.46657,                0.26773,                 1.4364,                 2.9134,                 1.0482,             0.00054845,             0.00054845,             0.00054845
                      2,                 1.2907,                 1.2315,                 0.9891,                 0.4476,                0.53686,                0.40512,                0.22836,                 1.5152,                 2.2665,                 1.1232,              0.0010932,              0.0010932,              0.0010932
                      3,                 1.2937,                0.98601,                0.99785,                0.71443,                0.54949,                0.53647,                0.27965,                 1.6514,                 1.2101,                 1.2095,              0.0016269,              0.0016269,              0.0016269
                      4,                 1.2606,                0.85485,                0.99448,                0.68826,                0.56886,                0.53007,                 0.2899,                 1.4854,                 1.0741,                 1.1321,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2261,                0.79089,                0.98226,                0.74987,                0.61185,                0.59669,                 0.3347,                 1.4512,                0.96131,                 1.1237,               0.001601,               0.001601,               0.001601
                      6,                 1.1844,                0.73757,                0.96816,                0.83748,                 0.5509,                0.60101,                0.33745,                 1.4238,                 1.0566,                 1.0852,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1456,                0.70938,                 0.9549,                0.83333,                0.58789,                 0.6344,                0.33034,                 1.4894,                0.99805,                 1.0865,               0.001568,               0.001568,               0.001568
                      8,                 1.1377,                0.69349,                0.95833,                0.86076,                0.61295,                 0.5973,                0.33933,                 1.3438,                0.90842,                 1.0548,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1121,                0.67757,                0.94552,                 0.7773,                0.61419,                0.60254,                0.35856,                 1.3366,                0.87072,                  1.049,               0.001535,               0.001535,               0.001535
                     10,                 1.0947,                0.66187,                0.93921,                0.86807,                0.61068,                0.64002,                0.39101,                 1.3187,                0.90987,                 1.0439,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0776,                0.64524,                0.93667,                 0.8236,                0.61085,                0.63387,                0.35874,                 1.3436,                 1.0679,                 1.0462,               0.001502,               0.001502,               0.001502
