                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.83464,                0.49729,                0.88682,                0.85776,                0.75438,                0.84991,                0.68094,                0.80608,                0.60531,                0.89268,              0.0010894,              0.0010894,              0.0010894
                     37,                0.82604,                0.48455,                0.87748,                0.75964,                0.80257,                0.84551,                0.65352,                0.86494,                0.62612,                0.90495,              0.0010729,              0.0010729,              0.0010729
                     38,                0.81398,                0.49372,                0.88228,                0.83369,                0.70475,                0.81811,                0.62485,                0.90271,                0.64497,                0.91436,              0.0010564,              0.0010564,              0.0010564
                     39,                0.81311,                0.48165,                0.88418,                0.87746,                0.70475,                0.83057,                0.61023,                0.98736,                0.60847,                0.94244,              0.0010399,              0.0010399,              0.0010399
                     40,                0.80601,                0.47832,                0.87901,                0.81385,                0.74429,                0.81927,                0.61515,                0.88795,                0.62418,                0.91941,              0.0010234,              0.0010234,              0.0010234
                     41,                0.81303,                 0.4829,                 0.8822,                0.75225,                0.79284,                 0.8035,                0.63355,                0.82406,                 0.6566,                 0.9007,              0.0010069,              0.0010069,              0.0010069
                     42,                0.79822,                0.47483,                0.87558,                0.79494,                0.74592,                0.80037,                0.58889,                 1.0043,                0.82791,                0.93811,             0.00099036,             0.00099036,             0.00099036
                     43,                0.81227,                0.46986,                0.87881,                0.89034,                0.66734,                0.76729,                0.59087,                0.93633,                0.64364,                0.92115,             0.00097386,             0.00097386,             0.00097386
                     44,                 0.7997,                0.46796,                0.87444,                0.89841,                0.77877,                0.82133,                0.66073,                0.85652,                0.58224,                0.89768,             0.00095736,             0.00095736,             0.00095736
                     45,                0.78475,                0.46772,                0.87559,                0.90381,                0.75775,                0.83812,                0.67577,                0.81227,                0.53572,                0.88734,             0.00094085,             0.00094085,             0.00094085
                     46,                0.78972,                0.46285,                0.87424,                0.83136,                0.82219,                0.87341,                0.69187,                0.79077,                0.53194,                0.88646,             0.00092435,             0.00092435,             0.00092435
                     47,                0.77504,                0.45419,                0.87371,                0.84615,                0.73696,                 0.8094,                  0.633,                0.84621,                0.62507,                0.90409,             0.00090785,             0.00090785,             0.00090785
