                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3834,                 3.4451,                 1.0114,                0.54232,                0.42306,                0.37346,                0.14755,                 2.1147,                 3.0659,                 1.2023,             0.00053979,             0.00053979,             0.00053979
                      2,                 1.2356,                0.90861,                0.95644,                0.73193,                0.59403,                0.56773,                0.26368,                    1.7,                 1.9197,                 1.1592,              0.0010846,              0.0010846,              0.0010846
                      3,                 1.2315,                0.87154,                  0.956,                0.51199,                 0.3757,                0.34579,                0.14609,                 2.0976,                 2.0302,                 1.3372,              0.0016184,              0.0016184,              0.0016184
                      4,                 1.2413,                0.86858,                0.96682,                0.58994,                0.47496,                0.41735,                0.21029,                 1.7213,                 2.1591,                 1.1883,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2125,                0.81386,                0.94793,                0.58625,                0.36744,                0.38025,                 0.1862,                 1.8042,                 1.8699,                 1.1551,               0.001601,               0.001601,               0.001601
                      6,                 1.1778,                0.78158,                0.94096,                0.66561,                0.46685,                0.39699,                0.19363,                 1.6376,                 1.5963,                 1.1267,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1269,                0.73685,                 0.9273,                0.62446,                0.70927,                0.63701,                0.34102,                 1.5255,                 1.0627,                 1.0784,               0.001568,               0.001568,               0.001568
                      8,                 1.1066,                 0.7256,                0.92686,                0.68103,                0.59135,                0.55903,                0.28575,                 1.6229,                 1.1794,                 1.1346,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1155,                0.71773,                0.92624,                0.69819,                0.62505,                0.64725,                0.32884,                 1.5569,                 1.0281,                  1.068,               0.001535,               0.001535,               0.001535
                     10,                 1.0764,                0.69161,                0.91059,                0.64121,                0.57731,                0.55265,                0.27399,                 1.6961,                 1.1719,                 1.1567,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0698,                0.69598,                0.91131,                0.75442,                0.54804,                0.58145,                0.29986,                 1.6354,                 1.1789,                 1.1149,               0.001502,               0.001502,               0.001502
